frame,delta_seconds
0,0.400000
1,0.010597
2,0.001087
3,0.027383
4,0.091349
5,0.010410
6,0.009758
7,0.008817
8,0.009418
9,0.009427
10,0.010256
11,0.009616
12,0.009412
13,0.009327
14,0.009399
15,0.009576
16,0.009847
17,0.009509
18,0.009761
19,0.009034
20,0.009496
21,0.009469
22,0.009539
23,0.009245
24,0.009735
25,0.009278
26,0.009337
27,0.009999
28,0.009223
29,0.009354
30,0.010075
31,0.009141
32,0.009732
33,0.009369
34,0.009472
35,0.009779
36,0.009066
37,0.009235
38,0.009472
39,0.009337
40,0.009461
41,0.009316
42,0.009319
43,0.009397
44,0.009301
45,0.009343
46,0.009837
47,0.009444
48,0.009379
49,0.009371
50,0.009529
51,0.009446
52,0.009198
53,0.009501
54,0.009389
55,0.009427
56,0.009354
57,0.009452
58,0.009461
59,0.009259
60,0.009542
61,0.009297
62,0.009515
63,0.009155
64,0.010148
65,0.009312
66,0.009521
67,0.009385
68,0.009403
69,0.009450
70,0.009474
71,0.009283
72,0.009437
73,0.009293
74,0.009467
75,0.009473
76,0.009347
77,0.009486
78,0.009497
79,0.009383
80,0.009815
81,0.009436
82,0.009545
83,0.009290
84,0.009292
85,0.009404
86,0.009640
87,0.009400
88,0.009291
89,0.009423
90,0.009526
91,0.009308
92,0.009459
93,0.009268
94,0.009452
95,0.009419
96,0.009386
97,0.009459
98,0.009602
99,0.009715
100,0.009282
101,0.009424
102,0.009716
103,0.010477
104,0.009187
105,0.008658
106,0.009492
107,0.009790
108,0.009585
109,0.009287
110,0.009399
111,0.009531
112,0.009313
113,0.009457
114,0.009540
115,0.009337
116,0.009336
117,0.009717
118,0.022181
119,0.026342
120,0.010785
121,0.009268
122,0.009294
123,0.009957
124,0.009235
125,0.009469
126,0.009520
127,0.009318
128,0.009436
129,0.009943
130,0.009306
131,0.009352
132,0.009666
133,0.009746
134,0.009803
135,0.009062
136,0.009551
137,0.009725
138,0.009015
139,0.009526
140,0.009538
141,0.009174
142,0.009510
143,0.009311
144,0.009522
145,0.009266
146,0.009477
147,0.009431
148,0.009368
149,0.009369
150,0.009477
151,0.009519
152,0.009348
153,0.009776
154,0.009396
155,0.009451
156,0.009527
157,0.009327
158,0.009792
159,0.009146
160,0.009661
161,0.009154
162,0.009402
163,0.009371
164,0.009528
165,0.009144
166,0.009591
167,0.009614
168,0.009248
169,0.009518
170,0.009137
171,0.010023
172,0.009430
173,0.009734
174,0.009089
175,0.009517
176,0.009244
177,0.009411
178,0.009317
179,0.009517
180,0.009377
181,0.009422
182,0.009558
183,0.009269
184,0.009636
185,0.009276
186,0.009573
187,0.009348
188,0.009381
189,0.009866
190,0.009654
191,0.009190
192,0.009603
193,0.009334
194,0.009475
195,0.009420
196,0.009460
197,0.009350
198,0.009329
199,0.009410
200,0.009336
201,0.009567
202,0.009475
203,0.009124
204,0.009505
205,0.009448
206,0.009474
207,0.009550
208,0.009751
209,0.009398
210,0.009434
211,0.009575
212,0.009264
213,0.009364
214,0.009296
215,0.009622
216,0.009398
217,0.009323
218,0.009334
219,0.009541
220,0.009557
221,0.009227
222,0.009379
223,0.009346
224,0.009449
225,0.009505
226,0.009415
227,0.009793
228,0.009397
229,0.009372
230,0.009429
231,0.009302
232,0.009532
233,0.009392
234,0.009513
235,0.009507
236,0.009211
237,0.009373
238,0.009463
239,0.009296
240,0.009461
241,0.009475
242,0.009441
243,0.009686
244,0.009146
245,0.009873
246,0.009460
247,0.009561
248,0.009739
249,0.009240
250,0.009517
251,0.009446
252,0.009429
253,0.009520
254,0.009735
255,0.009772
256,0.009376
257,0.009280
258,0.009166
259,0.009555
260,0.009340
261,0.009244
262,0.009430
263,0.009527
264,0.009490
265,0.009335
266,0.009319
267,0.009367
268,0.009288
269,0.009402
270,0.009483
271,0.009345
272,0.009591
273,0.009775
274,0.009319
275,0.009324
276,0.009440
277,0.009302
278,0.009633
279,0.009322
280,0.009460
281,0.009222
282,0.009510
283,0.009298
284,0.009354
285,0.009493
286,0.009434
287,0.009586
288,0.009160
289,0.009676
290,0.009319
291,0.009150
292,0.010122
293,0.009266
294,0.009276
295,0.009638
296,0.009203
297,0.009215
298,0.009490
299,0.009496
300,0.009303
301,0.009340
302,0.009522
303,0.009394
304,0.009414
305,0.009322
306,0.009430
307,0.009547
308,0.009412
309,0.009232
310,0.009436
311,0.009947
312,0.009407
313,0.009402
314,0.009212
315,0.009461
316,0.009523
317,0.009365
318,0.009399
319,0.009214
320,0.009528
321,0.009389
322,0.009264
323,0.009591
324,0.009199
325,0.009506
326,0.009409
327,0.009329
328,0.009310
329,0.009547
330,0.009762
331,0.009301
332,0.009524
333,0.009428
334,0.009256
335,0.009435
336,0.009258
337,0.009542
338,0.009196
339,0.009463
340,0.009324
341,0.009474
342,0.009323
343,0.009358
344,0.009448
345,0.009299
346,0.009415
347,0.009539
348,0.037838
349,0.009905
350,0.009841
351,0.009385
352,0.009441
353,0.009714
354,0.009541
355,0.009247
356,0.009327
357,0.009491
358,0.009540
359,0.009285
360,0.009226
361,0.009472
362,0.009434
363,0.009472
364,0.009441
365,0.009204
366,0.009366
367,0.009500
368,0.009276
369,0.009534
370,0.009829
371,0.009328
372,0.009265
373,0.009560
374,0.009443
375,0.009474
376,0.009353
377,0.009411
378,0.009702
379,0.009626
380,0.009375
381,0.009336
382,0.009365
383,0.010066
384,0.009491
385,0.009490
386,0.009299
387,0.009786
388,0.009417
389,0.009408
390,0.009395
391,0.009404
392,0.009334
393,0.009410
394,0.009462
395,0.009396
396,0.009435
397,0.009319
398,0.009653
399,0.009205
400,0.009425
401,0.009541
402,0.009270
403,0.009535
404,0.009277
405,0.009977
406,0.009246
407,0.009328
408,0.009536
409,0.009460
410,0.009453
411,0.009358
412,0.009445
413,0.009849
414,0.009411
415,0.009481
416,0.009254
417,0.009363
418,0.009491
419,0.009593
420,0.009252
421,0.009469
422,0.009463
423,0.009216
424,0.009456
425,0.009378
426,0.009415
427,0.009360
428,0.009458
429,0.009503
430,0.009449
431,0.009475
432,0.009526
433,0.009526
434,0.009375
435,0.009326
436,0.009592
437,0.009169
438,0.009937
439,0.009264
440,0.009548
441,0.009252
442,0.009464
443,0.009471
444,0.009415
445,0.009442
446,0.009544
447,0.009251
448,0.009476
449,0.009399
450,0.009341
451,0.009467
452,0.009378
453,0.009433
454,0.009420
455,0.009846
456,0.009306
457,0.009641
458,0.009327
459,0.009307
460,0.009272
461,0.009438
462,0.009466
463,0.009415
464,0.009271
465,0.009534
466,0.009242
467,0.009254
468,0.009607
469,0.009986
470,0.009371
471,0.009278
472,0.009588
473,0.009459
474,0.009598
475,0.009385
476,0.009388
477,0.009411
478,0.009386
479,0.009524
480,0.009349
481,0.009401
482,0.009267
483,0.009428
484,0.009475
485,0.009273
486,0.009628
487,0.009784
488,0.009245
489,0.009479
490,0.009406
491,0.009319
492,0.009368
493,0.009427
494,0.009411
495,0.009379
496,0.009499
497,0.009348
498,0.009224
499,0.009419
500,0.009356
501,0.009385
502,0.009415
503,0.009527
504,0.009288
505,0.010140
506,0.009353
507,0.009192
508,0.009606
509,0.009347
510,0.009411
511,0.009426
512,0.009317
513,0.009420
514,0.009331
515,0.009457
516,0.009328
517,0.009509
518,0.009256
519,0.009615
520,0.009193
521,0.009441
522,0.009528
523,0.009711
524,0.009421
525,0.009451
526,0.009418
527,0.009291
528,0.009553
529,0.009226
530,0.009523
531,0.009376
532,0.009316
533,0.009450
534,0.009258
535,0.009710
536,0.009344
537,0.009263
538,0.009354
539,0.009476
540,0.009320
541,0.009368
542,0.009954
543,0.009314
544,0.009256
545,0.009527
546,0.009278
547,0.009352
548,0.009530
549,0.009438
550,0.009403
551,0.009358
552,0.009358
553,0.009346
554,0.009343
555,0.009405
556,0.009449
557,0.009532
558,0.009637
559,0.009438
560,0.009363
561,0.009483
562,0.009271
563,0.009428
564,0.009384
565,0.009493
566,0.009301
567,0.009409
568,0.009343
569,0.009528
570,0.009205
571,0.009622
572,0.009403
573,0.009333
574,0.009377
575,0.009216
576,0.009612
577,0.009948
578,0.029769
579,0.013487
580,0.008346
581,0.009052
582,0.010541
583,0.008224
584,0.009261
585,0.009526
586,0.009425
587,0.009330
588,0.009312
589,0.009529
590,0.009436
591,0.009353
592,0.009502
593,0.009804
594,0.009615
595,0.009351
596,0.009472
597,0.009392
598,0.009378
599,0.009283
600,0.009338
601,0.009563
602,0.009320
603,0.009231
604,0.009513
605,0.009378
606,0.009312
607,0.009380
608,0.009615
609,0.009338
610,0.009498
611,0.009752
612,0.009260
613,0.009619
614,0.009261
615,0.009436
616,0.009415
617,0.009293
618,0.009565
619,0.009493
620,0.009269
621,0.009321
622,0.009430
623,0.009442
624,0.009232
625,0.009661
626,0.009248
627,0.009457
628,0.009771
629,0.009350
630,0.009369
631,0.009360
632,0.009391
633,0.009434
634,0.009300
635,0.009715
636,0.009154
637,0.009301
638,0.009435
639,0.009387
640,0.009456
641,0.009224
642,0.009507
643,0.009375
644,0.009323
645,0.009188
646,0.009571
647,0.009977
648,0.009184
649,0.009368
650,0.009419
651,0.009466
652,0.009278
653,0.009410
654,0.009385
655,0.009373
656,0.009501
657,0.009283
658,0.009281
659,0.009426
660,0.009429
661,0.009270
662,0.009537
663,0.009450
664,0.009268
665,0.009510
666,0.009567
667,0.009506
668,0.009430
669,0.009384
670,0.009180
671,0.009470
672,0.009333
673,0.009458
674,0.009383
675,0.009482
676,0.009332
677,0.009370
678,0.009305
679,0.009499
680,0.009492
681,0.009324
682,0.009406
683,0.009303
684,0.009417
685,0.009491
686,0.009823
687,0.009221
688,0.009493
689,0.009405
690,0.009362
691,0.009341
692,0.009309
693,0.009444
694,0.009465
695,0.009250
696,0.009557
697,0.009343
698,0.009425
699,0.009205
700,0.009461
701,0.009276
702,0.009494
703,0.009840
704,0.009260
705,0.009537
706,0.009290
707,0.009328
708,0.009473
709,0.009329
710,0.009853
711,0.009352
712,0.009413
713,0.009459
714,0.009254
715,0.009630
716,0.009336
717,0.009404
718,0.009364
719,0.009445
720,0.009355
721,0.009258
722,0.009404
723,0.009367
724,0.009468
725,0.009335
726,0.009294
727,0.009550
728,0.009353
729,0.009839
730,0.009272
731,0.009588
732,0.009403
733,0.009228
734,0.009461
735,0.009504
736,0.009307
737,0.009440
738,0.009515
739,0.009429
740,0.009274
741,0.009448
742,0.009394
743,0.009430
744,0.009538
745,0.009313
746,0.009295
747,0.009448
748,0.009298
749,0.010018
750,0.009429
751,0.009352
752,0.009248
753,0.009300
754,0.009525
755,0.009386
756,0.009368
757,0.009315
758,0.009544
759,0.009379
760,0.009173
761,0.009618
762,0.009519
763,0.009239
764,0.009498
765,0.009831
766,0.009439
767,0.009311
768,0.009290
769,0.009739
770,0.009482
771,0.009844
772,0.009072
773,0.009464
774,0.009347
775,0.009363
776,0.009211
777,0.009474
778,0.009316
779,0.009576
780,0.009319
781,0.009498
782,0.009373
783,0.009291
784,0.009397
785,0.009345
786,0.009437
787,0.009815
788,0.009320
789,0.009333
790,0.009390
791,0.009523
792,0.009327
793,0.009331
794,0.009262
795,0.009464
796,0.009517
797,0.009369
798,0.009366
799,0.009381
800,0.009400
801,0.009376
802,0.009287
803,0.009410
804,0.009519
805,0.009292
806,0.009901
807,0.009464
808,0.009560
809,0.037606
810,0.011079
811,0.009277
812,0.009415
813,0.009380
814,0.009162
815,0.009599
816,0.009346
817,0.009428
818,0.009362
819,0.009506
820,0.009349
821,0.009259
822,0.009860
823,0.009439
824,0.009569
825,0.009180
826,0.009492
827,0.009228
828,0.009536
829,0.009129
830,0.009519
831,0.009380
832,0.009370
833,0.009264
834,0.009583
835,0.009201
836,0.009638
837,0.009236
838,0.010049
839,0.009138
840,0.009529
841,0.009463
842,0.009531
843,0.009376
844,0.009324
845,0.009458
846,0.009410
847,0.009451
848,0.009344
849,0.009425
850,0.009270
851,0.009512
852,0.009311
853,0.009427
854,0.009348
855,0.009495
856,0.009376
857,0.009782
858,0.009266
859,0.009475
860,0.009397
861,0.009378
862,0.009572
863,0.009190
864,0.009664
865,0.009495
866,0.009500
867,0.009322
868,0.009599
869,0.009318
870,0.009330
871,0.009580
872,0.009427
873,0.009624
874,0.009309
875,0.009626
876,0.009379
877,0.009346
878,0.009538
879,0.009454
880,0.009195
881,0.009474
882,0.009409
883,0.009341
884,0.009677
885,0.009410
886,0.009386
887,0.009261
888,0.009397
889,0.009380
890,0.009506
891,0.009367
892,0.009764
893,0.009448
894,0.009635
895,0.009282
896,0.009399
897,0.009508
898,0.009421
899,0.009371
900,0.009661
901,0.009303
902,0.009399
903,0.009357
904,0.009403
905,0.009581
906,0.009301
907,0.009483
908,0.009165
909,0.009471
910,0.009591
911,0.009822
912,0.009467
913,0.009154
914,0.009666
915,0.009208
916,0.009368
917,0.009517
918,0.009563
919,0.009217
920,0.009498
921,0.009333
922,0.009404
923,0.009310
924,0.009508
925,0.009273
926,0.009480
927,0.009314
928,0.009467
929,0.009886
930,0.009365
931,0.009364
932,0.009431
933,0.009487
934,0.009356
935,0.009323
936,0.009517
937,0.009365
938,0.009325
939,0.009485
940,0.009479
941,0.009315
942,0.009340
943,0.009383
944,0.009507
945,0.009339
946,0.009424
947,0.009402
948,0.009803
949,0.009626
950,0.009410
951,0.009296
952,0.009427
953,0.009408
954,0.009302
955,0.009473
956,0.009543
957,0.009377
958,0.009348
959,0.009358
960,0.009380
961,0.009466
962,0.009134
963,0.009404
964,0.009506
965,0.009398
966,0.009379
967,0.009727
968,0.009429
969,0.009459
970,0.009306
971,0.009591
972,0.009162
973,0.009429
974,0.009368
975,0.009366
976,0.009399
977,0.009265
978,0.009645
979,0.009312
980,0.009436
981,0.009423
982,0.009187
983,0.009354
984,0.009512
985,0.009921
986,0.009247
987,0.009315
988,0.009469
989,0.009401
990,0.009498
991,0.009300
